#    observatories.dat
#
#    Stuart Weston - Auckland University of Technology, July 2006
#
#    To allow greater flexability in adding new observatories or
#    changing existing rather than have hard coded entrys in the
#    code of the subroutine "obsinit". It was felt a better approach
#    would be to read a file. This would allow users to easily add or
#    change entries without recompiling the code.
#
#    List must currently be ordered alphabeticaly by observatory
#
#    Name       Name of the observatory
#
#    Paramater	The parameter of the observatory of interest. Possible
#		values are:
#		 'latitude '	Observatory latitude in radians.
#                                s   - the sign of the angle
#                                deg - Degrees (must be positive)
#                                m   - minutes
#                                sec - seconds
#		 'longitude'	Observatory longitude in radians.
#                                s   - the sign of the angle
#                                deg - Degrees (must be positive)
#                                m   - minutes
#                                sec - seconds
#		 'jyperk'	Typical system gain in Jy     K.
#		 'systemp'	Typical system temperature in K.
#		 'evector'	Offset angle of the feed to the local
#				vertical, fraction of 180.
#		 'mount'	Telescope mount: 0 = alt-az
#						 1   equitorial
#                                                3   xy-ew
#                                                4   nasmyth
#		 'antdiam'	Antenna diameter in meters.
#		 'subdiam'	Subreflector diameter.
#		 'height'	Height above sea level in meters
#		 'ew'		Positive if the telescope is an E-W array.
#	         'nants'        Number of antennas normally in the array.
#		 'ellimit'	Elevation limit, in degrees.
#
#    Value       Value for a paramater
#
#    Typical line would be:
#    
#    PARKES     antdiam 64d0
#
#    Note: there is a limit to how many entries can be stored in miriad. See
#    obspar.h MAXPARMS
#
#------------------------------------------------------------------------
#
#  ALMA - will need to be updated. From Simon Radford:
# At the Grenoble meeting Chajnantor South was chosen as the nominal 
# array center. In 1999 November we measured this with a differential GPS:
# 
#                             N            E          alt
# Chajnantor South        7453228.830  627807.166  5016.792
# 
# where the coordinates are UTM [m] on the Prov. S. Am. 1956 datum which 
# we use for mapping and civil construction. This position is 544 m south 
# and 35 m east of the NRAO container. By long integration with a 
# navigation GPS I measured the position of the NRAO container (Memos 
# 261 312):
# 
# NRAO  container         7453772      627772      5060
# 
# on the same datum. Again using this datum the latitude and longitude of 
# the NRAO container are:
# 
#    23deg 1'  9.42''  South    67deg 45' 11.44''  West
# 
# Note these coordinates are based on the PSAm56 datum and are not the 
# "astronomical" latitude and longitude. The native datum for GPS the 
# WGS84 datum is very close to the astronomical coordinate system 
# determined from VLBI. In this datum the NRAO container is at:
# 
#    23deg 1' 22.42''  South    67deg 45' 17.74''  West
#
alma	 antdiam        12.d0
alma     ellimit	12.0
alma     evector	0.25
alma     height	        5017.d0
alma     jyperk	        40.7d0
alma     latitude	-1 23 01 22.42
alma     longitude	1 67 47 17.74
alma     mount	        ALTAZ
alma     nants	        64.d0
alma     systemp	40.d0
#
#
#  The Australia Telescope Compact Array (ATNF.
#  Latitude longitude and height refer to station 35. Info from
#  John Reynolds. Geodeti# coordinates on WGS84
#
atca     antdiam	22.d0
atca     ellimit	12.0
atca     evector	0.25
atca     ew		1.d0
atca     height		236.87d0
atca     jyperk		13.d0
atca     latitude	-1 30 18 46.3849
atca     longitude	 1 149 33 0.4997
atca     mount	        ALTAZ
atca     nants	        6.d0
atca     subdiam	2.8d0
atca     systemp	50.d0
#
#  CARMA (Combined California Array  - geometri# mean of 10.4 and 6.1m
#
carma     antdiam	8.0d0
carma     ellimit	5.0
carma     evector	0.5
carma     height	2200.0d0
carma     jyperk	80.d0
carma     latitude      1 37 16 43.00
carma     longitude     -1 118 8 32.00
carma     mount	        ALTAZ
carma     nants	        15.d0
carma     systemp	200.d0
#
#  The Ceduna 30m dish.
#  Ref: Richard Dodson 22     05     01
#
ceduna30m     antdiam	30.d0
ceduna30m     height    161.d0
ceduna30m     latitude  -1 31 52 05.04
ceduna30m     longitude 1 133 48 36.565
ceduna30m     mount	ALTAZ
ceduna30m     nants	1.d0
#
#  CSO (from Oliver Lay -> MCHW 20may1997 - some values need confirmation
#
cso     antdiam		10.4d0
cso     ellimit		5.0
cso     evector		0.5
cso     height		4080.0d0
cso     jyperk		60.d0
cso     latitude	1 19 49 33.8
cso     longitude	-1 155 28 46.4
cso     mount		ALTAZ
cso     nants		2.d0
cso     systemp		500.d0
#
#  GMRT.
gmrt     antdiam	45.d0
gmrt     height	        650.0d0
gmrt     latitude	1 19 06 0.0
gmrt     longitude	-1 74 03 0.0
#
#  The HATCREEK mm array (BIMA.
#  Jyperk and systemp given by Wright from 3mm vlbi.
#
hatcreek     antdiam	6.1d0
hatcreek     evector	0.0d0
hatcreek     height	1043.d0
hatcreek     jyperk	120.d0
hatcreek     latitude   1 40 49 2.50
hatcreek     longitude  -1 121 28 18.49
hatcreek     mount	ALTAZ
hatcreek     nants      10.d0
hatcreek     subdiam	0.61d0
hatcreek     systemp	300.d0
#
#  The Hobart 26m dish.
